Generation;Pokemon Id;Pokedex Number;Pokemon Name;Classification;Alternate Form Name;Original Pokemon ID;Legendary Type;Pokemon Height;Pokemon Weight;Primary Type;Secondary Type;Primary Ability;Primary Ability Description;Secondary Ability;Secondary Ability Description;Hidden Ability;Hidden Ability Description;Special Event Ability;Special Event Ability Description;Male Ratio;Female Ratio;Base Happiness;Game(s) of Origin;Health Stat;Attack Stat;Defense Stat;Special Attack Stat;Special Defense Stat;Speed Stat;Base Stat Total;Health EV;Attack EV;Defense EV;Special Attack EV;Special Defense EV;Speed EV;EV Yield Total;Catch Rate;Experience Growth;Experience Growth Total;Primary Egg Group;Secondary Egg Group;Egg Cycle Count;Pre-Evolution Pokemon Id;Evolution Details;Region;Pre-Evolution Pokemon Id.1;Color
1;23;11;"""Metapod""";"""Cocoon Pokémon""";;;nan;0.7;9.9;"""Bug""";;"""Shed Skin""";"""The Pokémon may heal its own status conditions by shedding its skin.""";;;;;;;50.0;50.0;50;"""Red""";50;20;55;25;25;30;205;0;0;2;0;0;0;2;120;"""Medium Fast""";1000000;"""Bug""";;15;32.0;"""Level 7""";Kanto;32.0;red
1;24;12;"""Butterfree""";"""Butterfly Pokémon""";;;nan;1.1;32.0;"""Bug""";"""Flying""";"""Compound Eyes""";"""The Pokémon's compound eyes boost its accuracy.""";;;"""Tinted Lens""";"""The Pokémon can use """"not very effective"""" moves to deal regular damage.""";;;50.0;50.0;50;"""Red""";60;45;50;90;80;70;395;0;0;0;2;1;0;3;45;"""Medium Fast""";1000000;"""Bug""";;15;23.0;"""Level 10""";Kanto;23.0;red
1;31;13;"""Weedle""";"""Hairy Bug Pokémon""";;;nan;0.3;3.2;"""Bug""";"""Poison""";"""Shield Dust""";"""This Pokémon's dust blocks the additional effects of attacks taken.""";;;"""Run Away""";"""Enables a sure getaway from wild Pokémon.""";;;50.0;50.0;50;"""Red""";40;35;30;20;20;50;195;0;0;0;0;0;1;1;255;"""Medium Fast""";1000000;"""Bug""";;15;;;Kanto;;red
1;30;14;"""Kakuna""";"""Cocoon Pokémon""";;;nan;0.6;10.0;"""Bug""";"""Poison""";"""Shed Skin""";"""The Pokémon may heal its own status conditions by shedding its skin.""";;;;;;;50.0;50.0;50;"""Red""";45;25;50;25;25;35;205;0;0;2;0;0;0;2;120;"""Medium Fast""";1000000;"""Bug""";;15;31.0;"""Level 7""";Kanto;31.0;red
1;27;15;"""Beedrill""";"""Poison Bee Pokémon""";;;nan;1.0;29.5;"""Bug""";"""Poison""";"""Swarm""";"""Powers up Bug-type moves when the Pokémon's HP is low.""";;;"""Sniper""";"""Powers up moves if they become critical hits when attacking.""";;;50.0;50.0;50;"""Red""";65;90;40;45;80;75;395;0;2;0;0;1;0;3;45;"""Medium Fast""";1000000;"""Bug""";;15;30.0;"""Level 10""";Kanto;30.0;red
1;76;16;"""Pidgey""";"""Tiny Bird Pokémon""";;;nan;0.3;1.8;"""Normal""";"""Flying""";"""Keen Eye""";"""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""";"""Tangled Feet""";"""Raises evasiveness if the Pokémon is confused.""";"""Big Pecks""";"""Protects the Pokémon from Defense-lowering effects.""";;;50.0;50.0;50;"""Red""";40;45;40;35;35;56;251;0;0;0;0;0;1;1;255;"""Medium Slow""";1059860;"""Flying""";;15;;;Kanto;;red
1;77;17;"""Pidgeotto""";"""Bird Pokémon""";;;nan;1.1;30.0;"""Normal""";"""Flying""";"""Keen Eye""";"""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""";"""Tangled Feet""";"""Raises evasiveness if the Pokémon is confused.""";"""Big Pecks""";"""Protects the Pokémon from Defense-lowering effects.""";;;50.0;50.0;50;"""Red""";63;60;55;50;50;71;349;0;0;0;0;0;2;2;120;"""Medium Slow""";1059860;"""Flying""";;15;76.0;"""Level 18""";Kanto;76.0;red
1;78;18;"""Pidgeot""";"""Bird Pokémon""";;;nan;1.5;39.5;"""Normal""";"""Flying""";"""Keen Eye""";"""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""";"""Tangled Feet""";"""Raises evasiveness if the Pokémon is confused.""";"""Big Pecks""";"""Protects the Pokémon from Defense-lowering effects.""";;;50.0;50.0;50;"""Red""";83;80;75;70;70;101;479;0;0;0;0;0;3;3;45;"""Medium Slow""";1059860;"""Flying""";;15;77.0;"""Level 36""";Kanto;77.0;red
1;80;19;"""Rattata""";"""Mouse Pokémon""";;;nan;0.3;3.5;"""Normal""";;"""Run Away""";"""Enables a sure getaway from wild Pokémon.""";"""Guts""";"""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""";"""Hustle""";"""Boosts the Attack stat, but lowers accuracy.""";;;50.0;50.0;50;"""Red""";30;56;35;25;35;72;253;0;0;0;0;0;1;1;255;"""Medium Fast""";1000000;"""Field""";;15;;;Kanto;;blue
1;81;19;"""Rattata""";"""Mouse Pokémon""";"""Alola""";80.0;nan;0.3;3.8;"""Dark""";"""Normal""";"""Gluttony""";"""Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.""";"""Hustle""";"""Boosts the Attack stat, but lowers accuracy.""";"""Thick Fat""";"""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.""";;;50.0;50.0;70;"""Sun""";30;56;35;25;35;72;253;0;0;0;0;0;1;1;255;"""Medium Fast""";1000000;"""Field""";;15;;;Kanto;;blue
1;82;20;"""Raticate""";"""Mouse Pokémon""";;;nan;0.7;18.5;"""Normal""";;"""Run Away""";"""Enables a sure getaway from wild Pokémon.""";"""Guts""";"""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""";"""Hustle""";"""Boosts the Attack stat, but lowers accuracy.""";;;50.0;50.0;50;"""Red""";55;81;60;50;70;97;413;0;0;0;0;0;2;2;127;"""Medium Fast""";1000000;"""Field""";;15;80.0;"""Level 20""";Kanto;80.0;blue
1;83;20;"""Raticate""";"""Mouse Pokémon""";"""Alola""";82.0;nan;0.7;25.5;"""Dark""";"""Normal""";"""Gluttony""";"""Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.""";"""Hustle""";"""Boosts the Attack stat, but lowers accuracy.""";"""Thick Fat""";"""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.""";;;50.0;50.0;70;"""Sun""";75;71;70;40;80;77;413;0;0;0;0;0;2;2;127;"""Medium Fast""";1000000;"""Field""";;15;81.0;"""Level 20""";Kanto;81.0;blue
1;84;21;"""Spearow""";"""Tiny Bird Pokémon""";;;nan;0.3;2.0;"""Normal""";"""Flying""";"""Keen Eye""";"""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""";;;"""Sniper""";"""Powers up moves if they become critical hits when attacking.""";;;50.0;50.0;50;"""Red""";40;60;30;31;31;70;262;0;0;0;0;0;1;1;255;"""Medium Fast""";1000000;"""Flying""";;15;;;Kanto;;blue
1;85;22;"""Fearow""";"""Beak Pokémon""";;;nan;1.2;38.0;"""Normal""";"""Flying""";"""Keen Eye""";"""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""";;;"""Sniper""";"""Powers up moves if they become critical hits when attacking.""";;;50.0;50.0;50;"""Red""";65;90;65;61;61;100;442;0;0;0;0;0;2;2;90;"""Medium Fast""";1000000;"""Flying""";;15;84.0;"""Level 20""";Kanto;84.0;blue
1;86;23;"""Ekans""";"""Snake Pokémon""";;;nan;2.0;6.9;"""Poison""";;"""Intimidate""";"""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""";"""Shed Skin""";"""The Pokémon may heal its own status conditions by shedding its skin.""";"""Unnerve""";"""Unnerves opposing Pokémon and makes them unable to eat Berries.""";;;50.0;50.0;50;"""Red""";35;60;44;40;54;55;288;0;1;0;0;0;0;1;255;"""Medium Fast""";1000000;"""Field""";"""Dragon""";20;;;Kanto;;blue
1;87;24;"""Arbok""";"""Cobra Pokémon""";;;nan;3.5;65.0;"""Poison""";;"""Intimidate""";"""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""";"""Shed Skin""";"""The Pokémon may heal its own status conditions by shedding its skin.""";"""Unnerve""";"""Unnerves opposing Pokémon and makes them unable to eat Berries.""";;;50.0;50.0;50;"""Red""";60;95;69;65;79;80;448;0;2;0;0;0;0;2;90;"""Medium Fast""";1000000;"""Field""";"""Dragon""";20;86.0;"""Level 22""";Kanto;86.0;blue
1;89;25;"""Pikachu""";"""Mouse Pokémon""";;;nan;0.4;6.0;"""Electric""";;"""Static""";"""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""";;;"""Lightning Rod""";"""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""";;;50.0;50.0;50;"""Red""";35;55;40;50;50;90;320;0;0;0;0;0;2;2;190;"""Medium Fast""";1000000;"""Field""";"""Fairy""";10;88.0;;Kanto;88.0;red
1;1595;25;"""Pikachu""";"""Mouse Pokémon""";"""Starter""";89.0;nan;0.4;6.0;"""Electric""";;"""Static""";"""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""";;;"""Lightning Rod""";"""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""";;;50.0;50.0;70;"""Let's Go Pikachu""";45;80;50;75;60;120;430;0;0;0;0;0;2;2;190;"""Medium Fast""";1000000;"""Field""";"""Fairy""";10;;;Kanto;;grey
1;90;26;"""Raichu""";"""Mouse Pokémon""";;;nan;0.8;30.0;"""Electric""";;"""Static""";"""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""";;;"""Lightning Rod""";"""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""";;;50.0;50.0;50;"""Red""";60;90;55;90;80;110;485;0;0;0;0;0;3;3;75;"""Medium Fast""";1000000;"""Field""";"""Fairy""";10;89.0;"""Thunder Stone""";Kanto;89.0;red
1;90;26;"""Raichu""";"""Mouse Pokémon""";;;nan;0.8;30.0;"""Electric""";;"""Static""";"""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""";;;"""Lightning Rod""";"""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""";;;50.0;50.0;50;"""Red""";60;90;55;90;80;110;485;0;0;0;0;0;3;3;75;"""Medium Fast""";1000000;"""Field""";"""Fairy""";10;89.0;"""Thunder Stone in Kanto (LGPE) or Ultra Space (USUM)""";Kanto;89.0;red
1;90;26;"""Raichu""";"""Mouse Pokémon""";;;nan;0.8;30.0;"""Electric""";;"""Static""";"""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""";;;"""Lightning Rod""";"""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""";;;50.0;50.0;50;"""Red""";60;90;55;90;80;110;485;0;0;0;0;0;3;3;75;"""Medium Fast""";1000000;"""Field""";"""Fairy""";10;89.0;"""Thunder Stone""";Kanto;89.0;red
1;91;26;"""Raichu""";"""Mouse Pokémon""";"""Alola""";90.0;nan;0.7;21.0;"""Electric""";"""Psychic""";"""Surge Surfer""";"""Doubles the Pokémon's Speed stat on Electric Terrain.""";;;;;;;50.0;50.0;50;"""Sun""";60;85;50;95;85;110;485;0;0;0;0;0;3;3;75;"""Medium Fast""";1000000;"""Field""";"""Fairy""";10;89.0;"""Thunder Stone in Alola""";Kanto;89.0;red
1;91;26;"""Raichu""";"""Mouse Pokémon""";"""Alola""";90.0;nan;0.7;21.0;"""Electric""";"""Psychic""";"""Surge Surfer""";"""Doubles the Pokémon's Speed stat on Electric Terrain.""";;;;;;;50.0;50.0;50;"""Sun""";60;85;50;95;85;110;485;0;0;0;0;0;3;3;75;"""Medium Fast""";1000000;"""Field""";"""Fairy""";10;89.0;;Kanto;89.0;red
1;92;27;"""Sandshrew""";"""Mouse Pokémon""";;;nan;0.6;12.0;"""Ground""";;"""Sand Veil""";"""Boosts the Pokémon's evasiveness in a sandstorm.""";;;"""Sand Rush""";"""Boosts the Pokémon's Speed stat in a sandstorm.""";;;50.0;50.0;50;"""Red""";50;75;85;20;30;40;300;0;0;1;0;0;0;1;255;"""Medium Fast""";1000000;"""Field""";;20;;;Kanto;;blue
1;93;27;"""Sandshrew""";"""Mouse Pokémon""";"""Alola""";92.0;nan;0.7;40.0;"""Ice""";"""Steel""";"""Snow Cloak""";"""Boosts evasiveness in a hailstorm.""";;;"""Slush Rush""";"""Boosts the Pokémon's Speed stat in a hailstorm.""";;;50.0;50.0;50;"""Sun""";50;75;90;10;35;40;300;0;0;1;0;0;0;1;255;"""Medium Fast""";1000000;"""Field""";;20;;;Kanto;;blue
1;94;28;"""Sandslash""";"""Mouse Pokémon""";;;nan;1.0;29.5;"""Ground""";;"""Sand Veil""";"""Boosts the Pokémon's evasiveness in a sandstorm.""";;;"""Sand Rush""";"""Boosts the Pokémon's Speed stat in a sandstorm.""";;;50.0;50.0;50;"""Red""";75;100;110;45;55;65;450;0;0;2;0;0;0;2;90;"""Medium Fast""";1000000;"""Field""";;20;92.0;"""Level 22""";Kanto;92.0;blue
1;95;28;"""Sandslash""";"""Mouse Pokémon""";"""Alola""";94.0;nan;1.2;55.0;"""Ice""";"""Steel""";"""Snow Cloak""";"""Boosts evasiveness in a hailstorm.""";;;"""Slush Rush""";"""Boosts the Pokémon's Speed stat in a hailstorm.""";;;50.0;50.0;50;"""Sun""";75;100;120;25;65;65;450;0;0;2;0;0;0;2;90;"""Medium Fast""";1000000;"""Field""";;20;93.0;"""Ice Stone""";Kanto;93.0;blue
1;33;29;"""Nidoran (Female)""";"""Poison Pin Pokémon""";;;nan;0.4;7.0;"""Poison""";;"""Poison Point""";"""Contact with the Pokémon may poison the attacker.""";"""Rivalry""";"""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""";"""Hustle""";"""Boosts the Attack stat, but lowers accuracy.""";;;0.0;100.0;50;"""Red""";55;47;52;40;40;41;275;1;0;0;0;0;0;1;235;"""Medium Slow""";1059860;"""Monster""";"""Field""";20;;;Kanto;;red
1;17;30;"""Nidorina""";"""Poison Pin Pokémon""";;;nan;0.8;20.0;"""Poison""";;"""Poison Point""";"""Contact with the Pokémon may poison the attacker.""";"""Rivalry""";"""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""";"""Hustle""";"""Boosts the Attack stat, but lowers accuracy.""";;;0.0;100.0;50;"""Red""";70;62;67;55;55;56;365;2;0;0;0;0;0;2;120;"""Medium Slow""";1059860;"""No Eggs Discovered""";;20;33.0;"""Level 16""";Kanto;33.0;red
1;18;31;"""Nidoqueen""";"""Drill Pokémon""";;;nan;1.3;60.0;"""Poison""";"""Ground""";"""Poison Point""";"""Contact with the Pokémon may poison the attacker.""";"""Rivalry""";"""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""";"""Sheer Force""";"""Removes additional effects to increase the power of moves when attacking.""";;;0.0;100.0;50;"""Red""";90;92;87;75;85;76;505;3;0;0;0;0;0;3;45;"""Medium Slow""";1059860;"""No Eggs Discovered""";;20;17.0;"""Moon Stone""";Kanto;17.0;red
1;48;32;"""Nidoran (Male)""";"""Poison Pin Pokémon""";;;nan;0.5;9.0;"""Poison""";;"""Poison Point""";"""Contact with the Pokémon may poison the attacker.""";"""Rivalry""";"""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""";"""Hustle""";"""Boosts the Attack stat, but lowers accuracy.""";;;100.0;0.0;50;"""Red""";46;57;40;40;40;50;273;0;1;0;0;0;0;1;235;"""Medium Slow""";1059860;"""Monster""";"""Field""";20;;;Kanto;;red
1;49;33;"""Nidorino""";"""Poison Pin Pokémon""";;;nan;0.9;19.5;"""Poison""";;"""Poison Point""";"""Contact with the Pokémon may poison the attacker.""";"""Rivalry""";"""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""";"""Hustle""";"""Boosts the Attack stat, but lowers accuracy.""";;;100.0;0.0;50;"""Red""";61;72;57;55;55;65;365;0;2;0;0;0;0;2;120;"""Medium Slow""";1059860;"""Monster""";"""Field""";20;48.0;"""Level 16""";Kanto;48.0;red
1;50;34;"""Nidoking""";"""Drill Pokémon""";;;nan;1.4;62.0;"""Poison""";"""Ground""";"""Poison Point""";"""Contact with the Pokémon may poison the attacker.""";"""Rivalry""";"""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""";"""Sheer Force""";"""Removes additional effects to increase the power of moves when attacking.""";;;100.0;0.0;50;"""Red""";81;102;77;85;75;85;505;0;3;0;0;0;0;3;45;"""Medium Slow""";1059860;"""Monster""";"""Field""";20;49.0;"""Moon Stone""";Kanto;49.0;red
1;52;35;"""Clefairy""";"""Fairy Pokémon""";;;nan;0.6;7.5;"""Fairy""";;"""Cute Charm""";"""Contact with the Pokémon may cause infatuation.""";"""Magic Guard""";"""The Pokémon only takes damage from attacks.""";"""Friend Guard""";"""Reduces damage done to allies.""";;;25.0;75.0;140;"""Red""";70;45;48;60;65;35;323;2;0;0;0;0;0;2;150;"""Fast""";800000;"""Fairy""";;20;51.0;;Kanto;51.0;red
1;53;36;"""Clefable""";"""Fairy Pokémon""";;;nan;1.3;40.0;"""Fairy""";;"""Cute Charm""";"""Contact with the Pokémon may cause infatuation.""";"""Magic Guard""";"""The Pokémon only takes damage from attacks.""";"""Unaware""";"""When attacking, the Pokémon ignores the target Pokémon's stat changes.""";;;25.0;75.0;140;"""Red""";95;70;73;95;90;60;483;3;0;0;0;0;0;3;25;"""Fast""";800000;"""Fairy""";;10;52.0;"""Moon Stone""";Kanto;52.0;red
1;54;37;"""Vulpix""";"""Fox Pokémon""";;;nan;0.6;9.9;"""Fire""";;"""Flash Fire""";"""Powers up the Pokémon's Fire-type moves if it's hit by one.""";;;"""Drought""";"""Turns the sunlight harsh when the Pokémon enters a battle.""";;;25.0;75.0;50;"""Red""";38;41;40;50;65;65;299;0;0;0;0;0;1;1;190;"""Medium Fast""";1000000;"""Field""";;20;;;Kanto;;blue
1;55;37;"""Vulpix""";"""Fox Pokémon""";"""Alola""";54.0;nan;0.6;9.9;"""Ice""";;"""Snow Cloak""";"""Boosts evasiveness in a hailstorm.""";;;"""Snow Warning""";"""The Pokémon makes it snow when it enters a battle.""";;;25.0;75.0;50;"""Sun""";38;41;40;50;65;65;299;0;0;0;0;0;1;1;190;"""Medium Fast""";1000000;"""Field""";;20;;;Kanto;;blue
1;56;38;"""Ninetales""";"""Fox Pokémon""";;;nan;1.1;19.9;"""Fire""";;"""Flash Fire""";"""Powers up the Pokémon's Fire-type moves if it's hit by one.""";;;"""Drought""";"""Turns the sunlight harsh when the Pokémon enters a battle.""";;;25.0;75.0;50;"""Red""";73;76;75;81;100;100;505;0;0;0;0;1;1;2;75;"""Medium Fast""";1000000;"""Field""";;20;54.0;"""Fire Stone""";Kanto;54.0;blue
1;57;38;"""Ninetales""";"""Fox Pokémon""";"""Alola""";56.0;nan;1.1;19.9;"""Ice""";"""Fairy""";"""Snow Cloak""";"""Boosts evasiveness in a hailstorm.""";;;"""Snow Warning""";"""The Pokémon makes it snow when it enters a battle.""";;;25.0;75.0;50;"""Sun""";73;67;75;81;100;109;505;0;0;0;0;0;2;2;75;"""Medium Fast""";1000000;"""Field""";;20;55.0;"""Ice Stone""";Kanto;55.0;blue
1;59;39;"""Jigglypuff""";"""Balloon Pokémon""";;;nan;0.5;5.5;"""Normal""";"""Fairy""";"""Cute Charm""";"""Contact with the Pokémon may cause infatuation.""";"""Competitive""";"""Boosts the Sp. Atk stat sharply when a stat is lowered.""";"""Friend Guard""";"""Reduces damage done to allies.""";;;25.0;75.0;50;"""Red""";115;45;20;45;25;20;270;2;0;0;0;0;0;2;170;"""Fast""";800000;"""Fairy""";;10;58.0;;Kanto;58.0;red
1;60;40;"""Wigglytuff""";"""Balloon Pokémon""";;;nan;1.0;12.0;"""Normal""";"""Fairy""";"""Cute Charm""";"""Contact with the Pokémon may cause infatuation.""";"""Competitive""";"""Boosts the Sp. Atk stat sharply when a stat is lowered.""";"""Frisk""";"""When it enters a battle, the Pokémon can check an opposing Pokémon's held item.""";;;25.0;75.0;50;"""Red""";140;70;45;85;50;45;435;3;0;0;0;0;0;3;50;"""Fast""";800000;"""Fairy""";;10;59.0;"""Moon Stone""";Kanto;59.0;red
1;61;41;"""Zubat""";"""Bat Pokémon""";;;nan;0.8;7.5;"""Poison""";"""Flying""";"""Inner Focus""";"""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""";;;"""Infiltrator""";"""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""";;;50.0;50.0;50;"""Red""";40;45;35;30;40;55;245;0;0;0;0;0;1;1;255;"""Medium Fast""";1000000;"""Flying""";;15;;;Kanto;;red
1;62;42;"""Golbat""";"""Bat Pokémon""";;;nan;1.6;55.0;"""Poison""";"""Flying""";"""Inner Focus""";"""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""";;;"""Infiltrator""";"""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""";;;50.0;50.0;50;"""Red""";75;80;70;65;75;95;460;0;0;0;0;0;2;2;90;"""Medium Fast""";1000000;"""Flying""";;15;61.0;"""Level 22""";Kanto;61.0;red
1;64;43;"""Oddish""";"""Weed Pokémon""";;;nan;0.5;5.4;"""Grass""";"""Poison""";"""Chlorophyll""";"""Boosts the Pokémon's Speed stat in harsh sunlight.""";;;"""Run Away""";"""Enables a sure getaway from wild Pokémon.""";;;50.0;50.0;50;"""Red""";45;50;55;75;65;30;320;0;0;0;1;0;0;1;255;"""Medium Slow""";1059860;"""Grass""";;20;;;Kanto;;red
1;65;44;"""Gloom""";"""Weed Pokémon""";;;nan;0.8;8.6;"""Grass""";"""Poison""";"""Chlorophyll""";"""Boosts the Pokémon's Speed stat in harsh sunlight.""";;;"""Stench""";"""By releasing stench when attacking, this Pokémon may cause the target to flinch.""";;;50.0;50.0;50;"""Red""";60;65;70;85;75;40;395;0;0;0;2;0;0;2;120;"""Medium Slow""";1059860;"""Grass""";;20;64.0;"""Level 21""";Kanto;64.0;red
